"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Previous page navigation","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Same day date range — boundary value","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Date range filter — past returns data, future returns empty","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Auto-refresh every 1 minute","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Notifications exist after threshold breach","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#6 — Entry Point / Navigation Page","Air Pollution card navigates to /air-pollution (Sprint 4 — feature now exists)","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Location filter dropdown accessible","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Toast X button manually dismisses toast","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","CO chart visible on page load","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Column sorting — DDT","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Pagination resets to page 1 after filter applied","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Clearing date filter restores all rows","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Location filter dropdown accessible","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#6 — Entry Point / Navigation Page","Three dashboard cards visible on /home","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Chart titles correct","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Clearing date filter restores all rows","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Clear All removes all notifications","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Brightness chart visible on page load","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","CO sort indicator changes on click","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Dismiss single notification reduces count","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Location filter shows only that location","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Bell badge visible when notifications exist","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Clearing date filter restores all rows","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Charts remain visible after pagination","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Sorting by column","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Table renders on page load","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Bell toggles panel closed on second click","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Previous on first page is no-op","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#15 — Air Pollution Notifications","Air Pollution notifications coexist with other notifications","0","1","0","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Charts have correct titles","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","Expand chart shows detailed stats","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","Chart titles correct","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Date range filter — past returns data, future returns empty","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Expanded Power chart closes on X button","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Traffic Density chart visible on page load","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","Charts remain visible after pagination","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Toast message matches threshold alert format","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Average Speed chart visible on page load","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Notification message matches confirmed format","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","Table renders on page load","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Pagination controls visible","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","Ozone chart visible on page load","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Expand chart shows detailed stats","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#6 — Entry Point / Navigation Page","Back navigation returns to /home with cards intact","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Pagination controls visible","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#15 — Air Pollution Notifications","Air Pollution notification message matches format","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Next page navigation","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Same day date range boundary","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Previous on first page is no-op","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#12 — Street Light Notifications","Street Light notifications coexist with Traffic notifications","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#13 — Air Pollution Dashboard","Expand Ozone chart shows stats","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Expand chart shows detailed stats","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Notification message contains a known location","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#10 — Street Light Dashboard","Table renders on page load","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Previous page navigation","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Toast appears on threshold breach","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Notifications persist after page reload","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Same day date range boundary","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#6 — Entry Point / Navigation Page","Back navigation from Air Pollution returns to /home (Sprint 4 — feature now exists)","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Pagination resets to page 1 after filter applied","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Click inside panel does not close it","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#6 — Entry Point / Navigation Page","Back navigation from Street Light returns to /home (Sprint 4 — feature now exists)","0","0","1","0","0"
"Sprint 4 & 5 — Air Pollution Monitoring","F#14 — Air Pollution Filtering","Pollution Level filter shows only that level","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#7 — Traffic Dashboard","Expanded Average Speed chart closes on X button click","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Next page navigation","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#9 — Traffic Notifications","Panel shows empty state after Clear All","0","0","1","0","0"
"Sprint 4 & 5 — Street Light Monitoring","F#11 — Street Light Filtering","Previous page navigation","0","0","1","0","0"
"Sprint 3 — Traffic Monitoring","F#8 — Filtering & Sorting","Previous page boundary — first page","0","0","1","0","0"
